,Unnamed: 0,carat,cut,color,clarity,depth,table,price,volumen
105,105,0.75,4,6,6,62.2,55.0,2760,123.58698
106,106,0.8,3,6,6,63.0,59.0,2760,126.48950999999998
107,107,0.74,4,1,2,62.3,55.0,2761,121.02055699999998
108,108,0.81,4,4,4,58.8,57.0,2761,135.05544
109,109,0.59,4,5,2,62.0,55.0,2761,97.86488999999999
111,111,0.74,4,5,4,62.2,56.0,2761,122.61664
112,112,0.9,3,1,5,63.0,58.0,2761,145.89590400000003
114,114,0.73,4,4,5,62.6,56.0,2762,119.23128
115,115,0.73,4,4,5,62.7,53.0,2762,120.727
117,117,0.71,4,6,5,62.4,54.0,2762,117.95097599999998
118,118,0.7,4,5,5,60.7,58.0,2762,115.18675200000001
119,119,0.8,4,4,4,59.9,59.0,2762,132.060134
121,121,0.74,4,5,6,62.3,54.0,2762,122.40668000000001
123,123,0.7,0,4,5,64.5,57.0,2762,110.27151800000001
124,124,0.7,0,4,5,65.3,55.0,2762,114.980364
125,125,0.7,3,4,5,61.6,60.0,2762,109.27891
128,128,0.91,0,3,4,64.4,57.0,2763,146.234907
129,129,0.91,0,3,4,65.7,60.0,2763,142.672815
130,130,0.77,4,3,5,62.0,56.0,2763,125.636056
132,132,0.71,4,2,6,61.9,59.0,2764,114.89020399999998
135,135,0.63,3,5,1,60.9,60.0,2765,103.24331999999998
137,137,0.71,3,4,3,61.8,59.0,2765,115.09106100000001
138,138,0.76,4,3,6,61.2,57.0,2765,125.45038799999999
139,139,0.64,4,6,1,61.9,56.0,2766,105.46152400000001
140,140,0.71,3,6,5,60.9,57.0,2766,116.65485
141,141,0.71,3,6,5,59.8,56.0,2766,119.77314999999997
144,144,0.71,4,2,4,61.6,55.0,2767,117.04089599999999
145,145,0.7,1,3,2,62.1,64.0,2767,111.13550000000001
150,150,0.71,3,2,4,61.7,59.0,2768,113.638707
151,151,0.74,4,1,6,61.3,56.0,2769,121.755564
152,152,0.71,3,2,5,62.5,60.0,2770,111.57168000000001
153,153,0.73,3,6,5,61.4,59.0,2770,119.547648
155,155,0.76,4,2,4,62.4,57.0,2770,121.98458800000002
156,156,0.71,4,4,6,60.7,56.0,2770,117.46565999999997
157,157,0.73,3,6,5,60.7,58.0,2770,121.28007000000001
158,158,0.73,3,6,3,61.5,58.0,2770,118.18837499999998
159,159,0.73,4,2,4,59.9,57.0,2770,123.435552
163,163,0.71,4,6,5,61.9,57.0,2771,117.701076
164,164,0.79,4,4,4,61.9,55.0,2771,130.060032
167,167,0.58,4,6,1,61.5,55.0,2772,97.640928
168,168,0.58,4,4,1,61.7,56.0,2772,94.45293
169,169,0.71,1,5,5,59.2,61.0,2772,117.99983999999999
170,170,0.75,4,2,4,61.3,56.0,2773,124.04339999999999
171,171,0.7,3,2,5,58.0,62.0,2773,114.678668
173,173,0.6,4,5,3,61.7,55.0,2774,98.59184
174,174,0.7,4,5,6,62.7,55.0,2774,116.71945600000001
175,175,0.83,1,1,5,64.6,54.0,2774,130.36842
178,178,0.71,3,5,5,62.7,58.0,2776,116.71945600000001
179,179,0.71,4,5,5,62.2,57.0,2776,115.51629
180,180,0.54,4,5,2,61.6,56.0,2776,89.64269999999999
181,181,0.54,4,5,2,61.5,57.0,2776,89.026552
182,182,0.72,4,6,6,61.8,56.0,2776,116.7595
183,183,0.72,4,6,6,60.7,56.0,2776,118.953234
184,184,0.72,1,6,5,59.7,60.5,2776,117.53584000000001
185,185,0.71,4,6,6,60.5,56.0,2776,116.928
187,187,0.71,3,4,5,62.1,58.0,2777,114.08607
189,189,0.71,1,4,5,63.8,58.0,2777,113.589036
190,190,0.71,1,4,5,57.8,60.0,2777,117.7522
191,191,0.7,4,5,5,62.1,55.0,2777,114.08607
192,192,0.7,3,5,5,61.1,60.0,2777,111.749268
193,193,0.7,3,5,6,60.0,59.0,2777,115.19205
194,194,0.7,3,5,6,61.2,57.0,2777,113.58693600000001
195,195,0.7,3,5,6,62.7,59.0,2777,113.004234
196,196,0.7,3,5,6,61.0,57.0,2777,113.261472
197,197,0.7,3,5,6,61.0,58.0,2777,116.04621599999999
198,198,0.7,4,5,6,61.4,57.0,2777,115.56864
199,199,0.72,3,4,6,61.8,61.0,2777,118.306632
201,201,0.7,3,5,6,61.3,58.0,2777,113.19047200000001
202,202,0.7,3,5,6,60.5,58.0,2777,115.25690399999999
203,203,0.7,1,5,5,64.1,59.0,2777,113.49935999999998
204,204,0.98,0,3,4,67.9,60.0,2777,147.36347999999998
205,205,0.78,3,4,6,62.4,58.0,2777,122.74481999999999
207,207,0.52,4,4,1,61.3,55.0,2778,86.422842
209,209,0.74,4,5,6,61.7,56.0,2779,121.60047999999999
211,211,0.77,3,6,5,61.2,58.0,2780,126.65294000000002
212,212,0.71,4,4,5,62.1,54.0,2780,115.01318399999998
213,213,0.74,4,6,3,61.5,55.0,2780,122.22729399999999
214,214,0.7,4,6,3,61.4,59.0,2780,112.787028
215,215,1.01,3,4,7,61.8,60.0,2781,160.123176
216,216,0.77,4,3,6,62.2,56.0,2781,124.78065600000001
217,217,0.78,4,3,6,61.2,56.0,2781,129.077312
220,220,0.76,4,6,5,61.3,56.0,2782,127.21698000000002
221,221,0.7,1,5,3,57.2,62.0,2782,110.963447
222,222,0.7,3,5,3,62.9,60.0,2782,109.283148
224,224,0.72,4,2,6,60.8,57.0,2782,115.91999999999999
225,225,0.72,3,2,6,62.7,59.0,2782,116.72124600000001
226,226,0.7,3,2,6,62.8,60.0,2782,114.44972800000001
227,227,0.84,0,6,6,55.1,67.0,2782,137.47446000000002
228,228,0.75,3,4,6,61.4,59.0,2782,123.83279999999999
229,229,0.52,4,4,0,62.2,55.0,2783,85.46689199999999
233,233,0.51,4,4,1,62.0,57.0,2787,83.68647000000001
234,234,0.64,4,2,3,61.5,56.0,2787,104.84727000000001
237,237,0.76,4,1,2,61.8,56.0,2788,124.30899000000001
238,238,0.71,1,2,5,63.3,56.0,2788,114.686016
239,239,0.77,1,6,3,59.4,64.0,2788,124.75867199999999
240,240,0.71,4,4,6,62.5,55.0,2788,114.52832500000001
241,241,1.01,0,5,7,64.5,58.0,2788,157.415427
242,242,1.01,3,3,4,62.7,59.0,2788,154.245426
243,243,0.77,1,4,6,64.2,52.0,2789,124.708164
244,244,0.76,1,5,6,63.7,54.0,2789,124.6752
245,245,0.76,3,5,6,60.4,58.0,2789,125.889984
246,246,0.76,3,5,6,61.8,58.0,2789,123.11977200000001
248,248,0.81,4,6,4,61.6,56.0,2789,132.396093
249,249,0.7,4,5,6,61.6,56.0,2789,116.1017
250,250,0.55,4,6,0,60.9,57.0,2789,90.10848000000001
251,251,0.81,1,6,4,61.0,61.0,2789,129.51338400000003
252,252,0.63,3,5,2,62.1,57.0,2789,100.20618400000001
253,253,0.63,3,5,1,60.9,60.0,2789,103.24331999999998
254,254,0.77,3,3,3,61.3,60.0,2789,125.23812
255,255,1.05,0,0,4,65.8,59.0,2789,167.99712599999998
256,256,0.64,4,6,0,61.3,56.0,2790,105.414012
257,257,0.76,3,1,1,58.8,59.0,2790,125.09639999999999
258,258,0.83,4,4,4,62.3,55.0,2790,136.94296
259,259,0.71,3,4,3,60.1,62.0,2790,114.59450799999999
260,260,0.71,3,4,3,61.8,59.0,2790,115.09106100000001
262,262,0.73,4,5,6,62.2,56.0,2791,118.774376
263,263,0.71,3,5,6,59.2,59.0,2792,118.206748
264,264,0.71,3,5,6,61.8,59.0,2792,116.0235
265,265,0.71,4,5,6,61.3,55.0,2792,116.17548799999999
266,266,0.7,3,4,3,62.1,60.0,2792,113.88309500000001
267,267,0.7,3,4,3,60.7,60.0,2792,116.32249999999999
268,268,0.76,3,3,2,59.6,57.0,2792,121.560426
269,269,0.7,4,4,3,62.2,56.0,2792,115.53971999999999
272,272,0.7,1,5,5,64.1,55.0,2793,114.42255999999999
273,273,0.76,4,1,5,61.3,56.0,2793,125.23703700000002
274,274,0.73,4,3,5,62.7,55.0,2793,118.60991999999999
277,277,0.81,3,1,2,61.9,60.0,2795,126.06266400000001
278,278,0.81,4,4,4,62.6,55.0,2795,131.25350400000002
279,279,0.72,1,4,3,60.7,60.0,2795,114.258144
280,280,0.72,3,2,4,62.0,60.0,2795,115.41709800000001
281,281,0.72,3,1,0,63.0,57.0,2795,117.3744
282,282,0.81,3,3,5,58.0,59.0,2795,135.02489699999998
283,283,0.72,3,6,5,62.9,57.0,2795,115.90071000000002
284,284,1.0,3,1,4,58.2,60.0,2795,165.82176500000003
285,285,0.73,1,5,6,63.2,58.0,2796,118.85184000000001
288,288,0.71,3,2,6,62.7,60.0,2797,115.581249
289,289,0.71,3,2,6,61.3,58.0,2797,115.97520000000002
290,290,0.71,3,2,6,61.6,60.0,2797,114.96531200000001
291,291,0.57,4,4,2,61.9,55.0,2797,94.56339
292,292,0.51,4,2,1,61.7,56.0,2797,83.748864
293,293,0.72,4,6,5,61.9,58.0,2797,116.7595
294,294,0.74,4,3,3,61.8,58.0,2797,120.01484599999999
295,295,0.74,4,3,3,61.6,56.0,2797,121.054836
296,296,0.7,0,6,1,58.8,66.0,2797,117.91975999999998
297,297,0.8,3,4,4,61.0,57.0,2797,133.00190099999998
298,298,1.01,0,5,4,67.4,60.0,2797,154.666435
303,303,0.78,4,2,6,61.9,57.0,2799,126.06266400000001
305,305,0.9,1,1,4,62.2,59.0,2800,140.562383
306,306,0.7,3,5,3,62.2,58.0,2800,110.93599999999999
308,308,0.83,4,6,6,62.3,57.0,2800,136.936192
309,309,0.83,4,6,6,61.8,57.0,2800,136.891854
312,312,0.79,4,1,3,61.8,59.0,2800,129.27208000000002
313,313,0.61,4,6,0,62.3,56.0,2800,100.321965
314,314,0.76,0,6,3,59.0,70.0,2800,118.20052
315,315,0.96,4,4,7,60.7,55.0,2801,158.426996
316,316,0.73,4,4,5,62.5,55.0,2801,120.60288
317,317,0.73,3,4,5,62.7,58.0,2801,117.86688
318,318,0.75,4,3,6,60.4,57.0,2801,126.88065199999998
319,319,0.71,3,4,5,62.1,58.0,2801,114.08607
320,320,0.71,1,4,5,57.8,60.0,2801,117.7522
321,321,0.71,1,4,5,63.8,58.0,2801,113.589036
322,322,0.71,3,4,5,62.8,57.0,2801,114.246096
323,323,1.04,3,6,7,62.2,58.0,2801,165.6344
324,324,1.0,3,0,4,62.3,58.0,2801,162.75414
326,326,0.53,4,4,0,61.9,54.0,2802,88.7922
327,327,0.72,3,5,5,63.0,55.0,2802,116.610021
328,328,0.72,3,4,3,62.4,58.0,2802,119.6316
331,331,0.71,4,6,5,61.3,56.0,2803,115.242075
332,332,0.73,4,5,6,60.6,54.0,2803,122.11147999999999
333,333,0.7,1,6,3,65.1,58.0,2803,112.82185199999999
334,334,0.71,3,4,5,62.6,58.0,2803,115.05564000000001
335,335,0.71,3,4,5,58.0,62.0,2803,114.88112999999998
336,336,0.71,3,6,3,62.4,61.0,2803,114.00570000000002
337,337,0.77,3,6,5,61.3,57.0,2803,126.22360800000001
338,338,0.71,3,6,5,59.9,60.0,2803,116.327239
339,339,0.78,3,6,5,60.8,58.0,2803,130.59774000000002
341,341,0.91,4,2,4,62.2,57.0,2803,147.03727500000002
346,346,0.72,4,4,3,61.7,57.0,2804,117.57528999999998
348,348,0.82,4,3,5,61.5,56.0,2804,135.93177599999999
349,349,0.7,4,2,6,61.0,59.0,2804,112.34472
350,350,0.72,4,2,6,62.2,56.0,2804,118.568884
351,351,0.72,4,2,6,61.5,54.0,2804,119.13895999999998
352,352,0.9,0,1,6,67.3,59.0,2804,137.139552
353,353,0.74,3,4,5,61.7,58.0,2805,121.38867
354,354,0.74,3,4,5,61.9,56.0,2805,119.80827999999998
355,355,0.73,4,5,4,61.8,58.0,2805,120.01484599999999
357,357,0.73,3,4,5,62.5,57.0,2805,117.33449999999999
358,358,0.72,4,6,5,62.8,56.0,2805,117.45762
359,359,0.74,0,4,5,61.1,68.0,2805,118.13145
360,360,0.82,1,6,5,64.0,57.0,2805,131.80406399999998
363,363,0.7,4,4,6,61.6,55.0,2806,115.89978399999998
366,366,0.93,3,0,4,61.9,57.0,2807,147.609216
369,369,1.0,0,6,7,66.4,59.0,2808,152.68360800000002
371,371,0.58,4,5,2,60.9,56.0,2808,96.94179
374,374,0.81,3,2,4,59.2,57.0,2809,134.319075
375,375,0.71,3,4,6,60.7,54.0,2809,119.56815999999999
376,376,1.2,0,4,7,64.6,56.0,2809,194.078394
379,379,0.74,4,2,4,61.7,55.0,2810,122.35859999999998
380,380,0.7,1,4,3,62.8,61.0,2810,109.679427
381,381,0.8,1,6,6,62.7,57.0,2810,127.78912799999999
384,384,1.0,0,0,5,65.7,59.0,2811,149.45189799999997
385,385,0.99,0,1,4,68.1,56.0,2811,157.30426799999998
388,388,0.7,1,5,6,63.5,59.0,2812,106.25895000000001
390,390,0.32,3,1,6,62.7,58.0,554,51.776634
391,391,0.32,3,1,6,62.8,58.0,554,52.204124
392,392,0.32,4,1,6,62.4,57.0,554,51.70584
393,393,0.32,3,1,6,61.0,59.0,554,51.104867999999996
395,395,0.32,4,1,6,60.7,57.0,554,53.34497999999999
396,396,0.3,3,3,6,60.9,59.0,554,48.443538
397,397,0.3,3,3,6,60.1,55.0,554,50.993712
398,398,0.3,3,3,6,62.9,58.0,554,48.634496000000006
400,400,0.3,1,3,6,63.8,55.0,554,48.3084
401,401,0.3,4,3,6,62.9,57.0,554,48.11179799999999
403,403,0.32,1,1,6,63.9,55.0,554,52.604271999999995
404,404,0.33,4,3,4,61.4,56.0,554,68.53292499999999
408,408,0.34,4,3,5,61.5,56.0,555,55.51739999999999
409,409,0.34,4,3,5,60.4,57.0,555,57.056450000000005
410,410,0.34,4,1,3,61.8,55.0,555,56.293887999999995
411,411,0.34,4,1,3,62.0,56.0,555,57.078
412,412,0.3,4,6,3,62.3,56.0,555,49.552932
413,413,0.29,4,4,3,61.6,56.0,555,48.471984
414,414,0.35,4,6,6,60.6,56.0,555,57.850896
417,417,0.36,4,1,5,61.9,56.0,556,58.508796000000004
418,418,0.3,4,6,5,62.0,56.0,556,48.954640000000005
419,419,0.26,4,5,3,61.5,57.0,556,42.464016
422,422,0.71,4,2,6,62.4,57.0,2812,115.866608
423,423,0.99,0,0,6,55.0,61.0,2812,164.946432
424,424,0.73,3,5,5,58.6,60.0,2812,120.646048
425,425,0.51,4,4,1,62.0,57.0,2812,83.68647000000001
426,426,0.91,3,6,4,59.8,58.0,2813,149.39379000000002
428,428,0.91,1,1,5,64.3,58.0,2813,143.69355
429,429,0.76,3,5,6,62.2,59.0,2814,123.58915799999998
430,430,0.76,4,5,6,61.7,57.0,2814,124.52076
431,431,0.75,3,5,6,61.1,59.0,2814,121.964766
434,434,0.74,3,6,3,61.7,58.0,2815,120.430842
435,435,0.7,4,3,6,60.4,56.0,2815,116.592175
436,436,0.7,4,3,6,61.4,56.0,2815,115.56864
437,437,0.7,4,3,6,61.5,55.0,2815,117.44551800000002
438,438,0.7,4,3,6,61.4,56.0,2815,116.50553199999999
439,439,0.9,0,0,5,65.0,56.0,2815,144.689408
440,440,0.95,0,4,4,56.0,60.0,2815,159.08124800000002
441,441,0.89,3,3,4,60.2,59.0,2815,146.63924799999998
442,442,0.72,3,5,5,58.3,58.0,2815,123.04897600000001
443,443,0.96,0,5,4,53.1,63.0,2815,158.878475
444,444,1.02,3,6,7,60.3,58.0,2815,167.7455
446,446,0.61,4,6,2,60.1,57.0,2816,101.52825599999998
447,447,0.71,1,2,3,63.4,55.0,2816,114.27682200000001
448,448,0.78,3,4,6,61.5,59.0,2816,127.563072
449,449,0.87,4,3,4,62.7,56.0,2816,145.37908000000002
450,450,0.83,4,3,6,62.5,55.0,2816,136.2624
451,451,0.71,3,5,6,61.3,56.0,2817,116.91148200000002
452,452,0.71,4,1,2,60.2,56.0,2817,121.42352799999998
453,453,0.71,4,5,5,62.7,57.0,2817,113.005296
454,454,0.71,3,5,5,62.3,58.0,2817,113.48420500000002
455,455,0.63,4,4,2,61.5,56.0,2817,102.243648
456,456,0.71,3,5,6,59.2,59.0,2817,118.206748
457,457,0.71,3,5,6,61.8,59.0,2817,116.0235
458,458,0.71,4,5,6,61.3,55.0,2817,116.17548799999999
459,459,0.71,3,5,6,61.4,58.0,2817,116.70921299999999
460,460,0.9,4,0,5,62.8,55.0,2817,148.18496
461,461,0.71,1,5,6,62.8,64.0,2817,108.58399999999999
462,462,0.7,3,5,5,62.4,61.0,2818,112.167616
463,463,0.7,3,5,5,59.3,60.0,2818,112.93715400000002
464,464,0.7,3,5,5,63.0,60.0,2818,111.80735999999999
465,465,1.0,3,3,7,61.3,60.0,2818,161.474661
466,466,0.86,3,4,4,59.3,62.0,2818,147.555816
467,467,0.8,4,3,6,61.0,57.0,2818,134.02560000000003
468,468,0.7,4,5,3,62.9,57.0,2818,112.40420400000001
469,469,0.7,3,5,3,59.6,57.0,2818,120.59355000000001
470,470,0.7,3,4,5,61.8,60.0,2818,112.3206
471,471,0.7,3,5,3,62.7,57.0,2818,113.72495999999998
472,472,1.0,0,3,4,65.3,62.0,2818,158.307264
474,474,0.72,4,3,3,62.3,56.0,2819,118.362318
475,475,0.7,1,4,3,59.7,63.0,2819,115.05888
476,476,0.86,1,4,4,64.3,60.0,2819,136.04734499999998
477,477,0.71,4,6,3,62.9,58.0,2820,114.97327800000001
478,478,0.75,4,5,6,62.0,57.0,2821,120.35116
479,479,0.73,3,5,5,61.6,59.0,2821,117.039834
480,480,0.53,4,5,1,61.9,55.0,2821,87.23624000000001
481,481,0.73,3,5,6,61.3,58.0,2821,119.21183999999998
482,482,0.73,1,5,6,63.6,57.0,2821,118.35252
483,483,0.73,3,5,6,59.6,61.0,2821,121.55831999999998
484,484,0.73,3,5,6,62.2,59.0,2821,116.67401599999998
485,485,0.73,3,2,6,61.7,55.0,2821,122.35968
487,487,0.7,3,5,3,60.8,60.0,2822,114.058392
488,488,0.72,3,5,5,60.3,59.0,2822,118.89071999999999
489,489,0.72,3,5,5,60.9,60.0,2822,117.59616000000001
490,490,0.72,3,5,5,62.4,59.0,2822,117.74261999999999
491,491,0.7,3,5,5,60.2,60.0,2822,112.35384
492,492,0.6,4,4,2,62.0,55.0,2822,96.85332
493,493,0.74,4,1,1,60.8,57.0,2822,123.00970499999998
494,494,0.73,4,4,6,62.1,55.0,2822,118.9813
495,495,0.71,3,2,6,62.7,60.0,2822,115.581249
496,496,0.71,3,2,6,61.3,58.0,2822,115.97520000000002
498,498,0.7,4,2,6,60.7,56.0,2822,114.4572
499,499,0.9,1,0,5,64.0,61.0,2822,140.58583199999998
500,500,0.71,4,2,6,60.2,56.0,2822,120.25657600000001
501,501,0.7,3,5,5,61.5,59.0,2822,114.23786399999999
502,502,0.7,3,5,5,62.6,56.0,2822,115.05421600000001
503,503,0.7,4,2,6,59.7,58.0,2822,116.19164400000001
504,504,0.7,1,5,6,61.4,64.0,2822,112.79191400000002
505,505,0.7,4,2,6,62.5,57.0,2822,110.269458
506,506,0.7,4,2,6,61.8,56.0,2822,113.232249
507,507,0.7,3,5,5,60.7,62.0,2822,112.41401599999999
508,508,0.7,3,4,5,60.6,58.0,2822,115.78423999999998
511,511,0.9,1,1,6,63.8,57.0,2823,144.504942
512,512,0.71,3,5,5,62.3,58.0,2823,114.40784400000001
513,513,0.61,4,5,2,61.3,54.0,2823,104.72305999999999
514,514,0.9,0,3,4,65.8,54.0,2823,143.26884
515,515,0.71,4,5,6,60.5,56.0,2823,114.72548700000002
516,516,0.71,3,2,5,61.2,59.0,2824,114.31210000000002
517,517,0.77,4,1,2,62.1,57.0,2824,124.227312
518,518,0.74,1,5,3,63.1,58.0,2824,119.26995000000002
519,519,0.82,4,4,4,62.4,54.0,2824,134.413356
520,520,0.82,3,5,4,60.8,60.0,2824,133.887105
521,521,0.71,3,6,3,62.2,59.0,2825,114.80857200000001
522,522,0.83,3,3,6,60.0,59.0,2825,133.89376000000001
524,524,0.83,3,3,6,62.5,59.0,2825,133.96305999999998
525,525,1.17,3,0,7,60.2,61.0,2825,194.63451
526,526,0.91,0,3,4,61.3,67.0,2825,147.16353600000002
527,527,0.73,3,5,3,62.6,60.0,2826,116.9228
528,528,0.7,1,5,3,57.2,59.0,2826,118.053936
529,529,0.9,3,1,4,62.2,59.0,2826,140.562383
530,530,0.7,3,5,3,62.2,58.0,2826,110.93599999999999
532,532,0.7,3,5,3,59.4,61.0,2826,113.46602399999999
534,534,0.78,3,4,6,60.8,60.0,2826,128.37171600000002
535,535,0.96,4,4,7,60.7,55.0,2826,158.426996
537,537,0.72,1,2,5,64.0,54.0,2827,117.84863999999999
539,539,0.7,4,3,1,61.6,57.0,2827,114.96531200000001
540,540,0.7,4,3,1,62.3,55.0,2827,114.20748
542,542,1.01,3,3,4,61.6,61.0,2828,157.65471899999997
543,543,0.72,3,4,3,62.2,58.0,2829,116.679
545,545,0.59,4,5,1,62.0,56.0,2829,96.026544
546,546,0.72,4,4,3,61.7,57.0,2829,117.57528999999998
547,547,0.75,3,5,4,61.9,57.0,2829,123.88219200000002
548,548,0.8,3,5,4,60.2,57.0,2829,131.98861499999998
551,551,0.97,4,4,7,60.7,56.0,2830,160.74356999999998
552,552,0.53,4,4,1,60.9,57.0,2830,88.25677300000001
554,554,0.8,4,1,5,62.1,54.4,2830,131.64822
555,555,0.9,3,6,6,60.6,62.0,2830,142.371702
557,557,0.72,4,5,6,62.3,57.0,2831,117.21024
558,558,0.75,4,5,6,61.4,57.0,2831,122.646606
559,559,0.72,3,5,6,62.1,58.0,2831,117.82713600000001
560,560,0.79,4,6,6,61.8,56.0,2831,128.26945800000001
563,563,0.71,3,6,2,62.1,57.0,2832,115.00575000000002
564,564,0.81,3,6,6,63.0,60.0,2832,125.50529600000002
565,565,0.82,4,3,6,62.5,57.0,2832,130.89881699999998
566,566,0.71,3,4,3,62.2,58.0,2832,114.608208
567,567,0.9,1,0,6,64.3,63.0,2832,141.07873999999998
571,571,0.7,4,2,5,61.0,57.0,2833,116.04902399999997
572,572,0.61,4,4,2,61.7,55.0,2833,100.64842000000002
573,573,0.85,4,3,4,62.5,57.0,2833,138.12649199999998
574,574,0.7,4,4,6,60.7,57.0,2833,114.98677500000002
575,575,0.8,4,6,5,62.2,56.0,2834,127.964826
576,576,0.8,4,3,5,62.8,57.0,2834,128.35929000000002
578,578,0.53,4,4,1,61.4,57.0,2834,87.02720000000001
579,579,0.78,4,1,5,61.8,55.0,2834,129.27208000000002
581,581,0.9,0,6,4,65.3,59.0,2834,143.4948
582,582,0.77,4,5,4,60.7,55.0,2834,129.806985
583,583,0.73,4,4,3,61.2,56.0,2835,122.51082199999998
584,584,0.63,4,4,2,61.9,57.0,2835,102.47497999999999
585,585,0.7,4,5,5,61.5,54.0,2835,115.368
586,586,0.72,4,5,5,62.8,57.0,2835,117.45869699999999
587,587,0.72,4,5,6,61.0,57.0,2835,118.33972
588,588,0.75,3,4,5,59.6,59.0,2835,128.083032
590,590,0.71,1,5,5,62.8,60.0,2836,111.6892
591,591,0.7,3,5,3,62.6,59.0,2837,114.32917
593,593,0.71,4,4,6,59.8,53.0,2838,119.02714800000003
595,595,0.82,0,4,6,64.9,58.0,2838,127.25898899999999
596,596,0.72,3,4,3,58.8,60.0,2838,120.790353
597,597,0.7,3,4,5,62.3,58.0,2838,114.20323199999999
598,598,0.7,3,4,5,61.7,58.0,2838,111.80110300000001
599,599,0.7,3,6,3,62.6,55.0,2838,115.049232
600,600,0.7,3,4,5,59.4,61.0,2838,116.457165
602,602,0.7,3,4,5,60.9,61.0,2838,111.82235600000001
603,603,0.7,3,4,5,59.5,58.0,2838,116.049375
604,604,0.7,3,6,3,63.0,60.0,2838,110.89424399999999
606,606,0.71,4,4,3,61.5,57.0,2839,115.36940799999999
607,607,0.7,4,4,3,61.6,54.0,2839,116.1017
